Locus_tag	Old_locus_tag	Mutant_norm_replica1	Mutant_norm_replica2	Mutant_norm_replica3	WildType_norm_replica1	WildType_norm_replica2	WildType_norm_replica3	FoldChange	pvalue	padj
SMLT_RS11405	Smlt2375	35.64174757	20.52540545	19.27196394	40.22104089	33.94129281	36.12637282	0.685940246	0.142038443	0.180643215
SMLT_RS11410	Smlt2377	406.9099514	395.8471051	347.8130636	432.1183624	178.5060585	128.6098872	1.551735025	0.104130321	0.135879334
SMLT_RS11415	Smlt2378	152.9625	147.3430891	150.5048613	171.197251	98.05262368	76.58791038	1.294252894	0.222280798	0.270986679
SMLT_RS11420	Smlt2379	641.5514562	700.7959861	548.7921161	412.5234963	236.3319648	232.653841	2.139857798	3.79E-05	7.71E-05
SMLT_RS11425	Smlt2380	190.8318568	174.4659463	170.6945378	481.621182	344.4412678	315.021971	0.468836093	1.14E-06	2.66E-06
SMLT_RS11430	Smlt2381	207.9101941	189.1269502	209.2384657	433.1496712	374.6113059	228.3186762	0.583638689	0.002897847	0.004779088
SMLT_RS11435	Smlt2382	965.2973299	1103.240543	799.3276474	917.8647794	595.8582516	601.1428437	1.354930482	0.067709611	0.091882541
SMLT_RS11440	Smlt2383	1041.036044	1040.931276	927.807407	767.2937032	238.8461346	239.8791155	2.411314605	0.001948451	0.003276322
SMLT_RS11445	Smlt2384	379.4361043	382.6522016	330.3765247	256.7958765	145.8218506	121.3846127	2.075109606	0.000278242	0.000515833
SMLT_RS11450	Smlt2385	674.9655946	657.5460246	519.4253139	489.8716519	255.1882386	251.4395548	1.854380024	0.002311398	0.003854615
SMLT_RS11455	Smlt2386	256.917597	220.6481086	220.2510165	149.5397674	134.5080863	138.7252716	1.649160509	0.000201402	0.000378086
SMLT_RS11460	Smlt2387	118.0632888	96.02957551	108.2900831	44.34627586	28.91295314	31.79120808	3.036244823	1.67E-08	4.49E-08
SMLT_RS11470	Smlt2390	11.88058252	16.12710428	11.01255082	3.093926223	26.3987833	27.45604334	0.698404754	0.419576607	0.479529652
SMLT_RS11475		1.485072815	7.330501947	8.259413119	3.093926223	5.028339676	4.335164738	1.369957946	0.5941573	0.645263495
SMLT_RS11480	Smlt2392	29.70145631	33.72030896	54.14504156	34.03318845	22.62752854	13.00549421	1.649470356	0.09116041	0.120350758
SMLT_RS11485	Smlt2393	50.49247572	32.25420857	61.48674211	60.84721571	40.22671741	40.46153756	1.007484559	0.975376533	0.979633285
SMLT_RS11490	Smlt2395	586.603762	472.0843254	758.9482943	318.6744009	458.8359954	562.1263611	1.358277553	0.10535174	0.137296231
SMLT_RS11500	Smlt2398	8.167900484	10.26270273	3.670850275	8.250469927	13.82793411	0	0.992246914	0.989115553	0.991073035
SMLT_RS11505	Smlt2399	91.33197814	85.03382258	113.7963585	87.66124297	64.11133087	101.1538439	1.146802452	0.456820703	0.517192133
SMLT_RS11520	Smlt2404	25.24623786	23.45760623	17.43653881	17.53224859	8.799594433	11.5604393	1.726386502	0.086214208	0.114357489
SMLT_RS11525	Smlt2405	19.3059466	13.9279537	12.84797596	10.31308741	12.57084919	7.225274564	1.524069027	0.232027397	0.281715758
SMLT_RS11530	Smlt2406	18.56341019	22.72455604	13.76568853	19.59486608	18.85627379	10.11538439	1.12447247	0.709551625	0.752820594
SMLT_RS11535	Smlt2407	170.7833738	159.8049424	127.5620471	86.62993423	59.08299119	54.91208668	2.26722581	1.03E-05	2.19E-05
SMLT_RS11540	Smlt2408	717.2901698	685.401932	617.6205588	124.7883576	74.16801022	121.3846127	6.301481281	1.16E-29	1.08E-28
SMLT_RS11545	Smlt2409	1635.807706	1872.210197	1670.236875	206.2617482	99.3097086	127.1648323	11.90796037	4.99E-40	6.81E-39
SMLT_RS11550	Smlt2410	137.3692354	129.0168343	106.454658	70.12899438	70.39675546	72.25274564	1.756798088	0.000523247	0.000937107
SMLT_RS11555	Smlt2411	880.6481795	1169.215061	967.2690475	142.3206062	159.6497847	153.1758208	6.637154906	1.54E-43	2.33E-42
SMLT_RS11560	Smlt2412	2001.878155	2649.243404	2003.366538	446.5566848	409.8096836	351.1483438	5.504116708	8.27E-35	9.22E-34
SMLT_RS11565	Smlt2413	7241.215047	7083.464031	5438.364682	1650.093985	869.9027639	689.2911934	6.153272904	1.80E-16	8.15E-16
SMLT_RS11570	Smlt2414	1413.78932	1143.558304	1086.571681	256.7958765	134.5080863	111.2692283	7.214709496	3.25E-20	1.82E-19
SMLT_RS11580	Smlt2417	584.3761528	546.122395	512.0836134	178.4164122	128.2226617	105.4890086	3.961273057	1.07E-17	5.21E-17
SMLT_RS11585	Smlt2418	426.215898	449.3597693	464.3625598	88.69255171	123.1943221	118.4945028	4.076109677	3.81E-23	2.45E-22
SMLT_RS11590	Smlt2419	1385.572937	1752.723016	1163.659537	87.66124297	80.45343482	62.13736125	18.58187778	3.10E-66	9.53E-65
SMLT_RS11595	Smlt2420	88.36183251	88.69907356	91.77125687	55.69067201	110.6234729	85.25823985	1.073862371	0.72195196	0.763576932
SMLT_RS11600	Smlt2421	92.81705096	95.29652531	93.60668201	73.2229206	79.1963499	85.25823985	1.189295135	0.269157403	0.320796594
SMLT_RS11605	Smlt2422	100.9849514	98.96177628	71.58158036	97.97433038	103.0809634	101.1538439	0.902005271	0.537008031	0.594288888
SMLT_RS11610	Smlt2423	188.6042475	222.8472592	99.11295742	70.12899438	52.7975666	50.57692195	2.935195726	5.07E-06	1.11E-05
SMLT_RS11615	Smlt2424	142.5669903	175.1989965	145.9162984	100.0369479	100.5667935	63.58241616	1.745477274	0.001465363	0.002494665
SMLT_RS11620	Smlt2425	106.1827063	126.0846335	89.01811917	173.2598685	173.4777188	138.7252716	0.661968846	0.010316988	0.015809598
SMLT_RS11625	Smlt2426	23.76116504	21.25845565	33.03765247	50.5341283	51.54048168	47.68681212	0.516546807	0.002985061	0.004918115
SMLT_RS11630	Smlt2427	279.9362257	304.948881	249.6178187	322.7996359	340.670013	309.2417513	0.858500177	0.213769496	0.261491897
SMLT_RS11640	Smlt2431	2621.896055	3896.894835	3161.519799	677.5698427	500.3197978	562.1263611	5.559454469	9.07E-30	8.48E-29
SMLT_RS11645	Smlt2432	89.84690533	175.1989965	80.75870605	71.16030312	74.16801022	73.69780055	1.582846249	0.049286736	0.0685546
SMLT_RS11655	Smlt2434	269.540716	336.4700394	239.5229804	254.733259	247.645729	317.9120808	1.033445244	0.827292745	0.85691145
SMLT_RS11660	Smlt2435	491.5591019	340.1352903	426.7363445	591.9712173	500.3197978	388.7197715	0.848413893	0.312387153	0.367673891
