Gene_ID	Mutant_fpkm_replica1	Mutant_fpkm_replica2	Mutant_fpkm_replica3	WildType_fpkm_replica1	WildType_fpkm_replica2	WildType_fpkm_replica3
SMLT_RS02300	10.33627932	6.31312013	6.230372048	20.45378484	49.22485825	76.32922776
SMLT_RS02305	12.23417385	11.8885659	15.82471234	13.8364548	13.73988856	18.90691809
SMLT_RS02310	22.27497264	18.88223439	23.26989492	47.66607535	70.41903327	53.96492357
SMLT_RS02315	526.8282725	372.0158398	609.7243312	169.4812255	183.0914431	146.4942806
SMLT_RS02320	9.310573508	9.621260626	9.149244524	30.38115689	48.934652	50.95595835
SMLT_RS02325	4.867370042	4.396744565	3.988095003	6.290221945	4.84164208	6.624321667
SMLT_RS02330	82.56525823	76.03914829	80.2570294	71.60855854	85.78079246	71.64726855
SMLT_RS02335	40.37557758	44.64393135	41.18968187	69.76080001	59.38834369	67.2502755
SMLT_RS02340	258.7038019	267.1153179	272.3516281	488.3883831	526.8790395	533.3004932
SMLT_RS02345	0.056507799	0	0.070014397	0.078062722	0.099570423	0
SMLT_RS02355	62.9674962	60.04326211	65.35833344	14.68909784	13.82603206	17.38454287
SMLT_RS02360	12.36023145	11.53258558	12.70280507	10.98627045	10.80534973	9.336155544
SMLT_RS02365	27.28178142	20.79156601	30.11909306	11.35484696	17.87302577	12.2971825
SMLT_RS02370	12.49942324	11.99567009	18.0082075	34.13310091	35.85432243	36.20784314
SMLT_RS02375	18.5906396	14.058274	17.18520797	11.69810507	7.374819262	8.115186562
SMLT_RS02380	76.26497986	63.82337704	80.27247464	17.61810835	20.07518132	18.10622986
SMLT_RS02385	101.4271705	83.78852628	86.68416773	21.3492702	11.6530692	10.06970395
SMLT_RS02390	547.4821759	386.7250122	596.2982988	408.8066608	719.8627848	654.7816228
SMLT_RS02395	23.28760088	16.90818261	23.05990118	54.39297318	72.01596763	70.27266947
SMLT_RS02400	52.54506344	67.43912529	43.74207347	79.62040081	66.25816226	81.48325004
SMLT_RS02405	2.151063535	2.245618003	3.331518387	2.042966481	8.054417432	6.482371917
SMLT_RS02415	131.9213135	114.0210469	118.2135823	27.30351714	23.21742207	18.97668532
SMLT_RS02420	29.66003905	28.11823319	29.70481592	14.39976374	13.3579351	13.89759618
SMLT_RS02425	23.06796641	21.61340085	20.62224956	13.58055875	13.2060717	11.34170652
SMLT_RS02430	14.05813176	11.15008105	13.43100326	7.643453692	4.377265611	5.331084516
SMLT_RS02435	64.86488801	64.32176279	72.44763204	34.8678546	28.16332448	21.27341867
SMLT_RS02440	15.92246317	12.10950801	11.57139482	62.07551339	61.37341313	63.82406513
SMLT_RS02445	17.52718436	20.54813859	26.15858881	16.23367305	6.317190143	6.802489048
SMLT_RS02450	6.190110891	8.0587561	6.902714355	4.489448905	3.544898066	4.041766663
SMLT_RS02455	3.036795578	3.481096419	2.508437373	7.691167928	6.688789563	2.033685307
SMLT_RS02460	4.36831364	4.422140067	2.952237832	4.205939385	4.781627	1.861604243
SMLT_RS02465	12.00067025	10.67885217	11.7830545	14.0759413	10.37349118	13.19219548
SMLT_RS02470	0.682877313	1.006439441	2.115249769	0.471680573	0.601637156	1.371930564
SMLT_RS02475	29.59863424	34.83085617	36.46013722	6.894083252	11.21932969	7.951709551
SMLT_RS02480	6.03465788	7.316040552	6.512289335	3.294293955	5.230976453	3.910933283
SMLT_RS02485	4.855945666	5.323238461	4.872967192	8.981290907	13.86010375	16.12530327
SMLT_RS02490	12.76297697	10.63806489	13.23723306	10.49960955	11.87631747	11.52421674
SMLT_RS02495	2.736722054	1.989830651	1.4919777	3.100129566	4.725836901	4.068664307
SMLT_RS02500	3.37635289	4.601594001	3.306215715	4.739494161	6.717012304	6.017391652
SMLT_RS02505	23.14688034	24.58587777	22.05353915	13.34182192	12.65782069	13.06897492
SMLT_RS02510	7.185867266	6.137522617	5.761053629	6.94235533	8.275794947	6.888109897
SMLT_RS02515	15.44779218	11.9140669	11.11363663	13.53850725	18.58571	21.52447818
SMLT_RS02520	31.05677529	29.55597009	31.33072913	23.38586698	22.87645188	23.18481474
SMLT_RS02525	17.10932379	16.78027489	15.97592679	13.74466315	15.45617992	15.06949091
SMLT_RS02530	90.4712016	90.75715665	74.27326285	29.93437518	15.88587521	9.850663206
SMLT_RS02535	4.520350906	6.279306947	4.442024515	3.014654096	4.119906615	3.4447387
SMLT_RS02540	34.47803963	29.82915194	44.42024515	12.43430276	9.139764462	5.823407395
SMLT_RS02545	53.54107046	40.11065217	42.02090345	19.08757004	19.64323358	13.56408722
SMLT_RS02550	28.37957773	19.71437258	25.30834136	10.23824302	8.599872295	3.631580906
SMLT_RS02555	43.27674142	42.06964675	45.07441504	9.670011933	10.53365197	6.364323972
